id,filename,label,area,box,fold
F_00001,PennFudanPed/PNGImages/FudanPed00001.png,PASpersonWalking,35791.5,"[160, 182, 302, 431]",4
F_00001,PennFudanPed/PNGImages/FudanPed00001.png,PASpersonWalking,35791.5,"[420, 171, 535, 486]",4
F_00002,PennFudanPed/PNGImages/FudanPed00002.png,PASpersonWalking,35301.0,"[68, 93, 191, 380]",5
F_00003,PennFudanPed/PNGImages/FudanPed00003.png,PASpersonWalking,44044.0,"[293, 135, 447, 421]",5
F_00004,PennFudanPed/PNGImages/FudanPed00004.png,PASpersonWalking,24004.5,"[168, 60, 324, 338]",4
F_00004,PennFudanPed/PNGImages/FudanPed00004.png,PASpersonWalking,24004.5,"[9, 61, 48, 180]",4
F_00005,PennFudanPed/PNGImages/FudanPed00005.png,PASpersonWalking,20277.0,"[188, 59, 320, 336]",2
F_00005,PennFudanPed/PNGImages/FudanPed00005.png,PASpersonWalking,20277.0,"[2, 53, 40, 158]",2
F_00006,PennFudanPed/PNGImages/FudanPed00006.png,PASpersonWalking,30843.0,"[208, 108, 346, 385]",3
F_00006,PennFudanPed/PNGImages/FudanPed00006.png,PASpersonWalking,30843.0,"[2, 108, 87, 384]",3
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,29362.0,"[112, 69, 218, 346]",5
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,29362.0,"[378, 76, 529, 377]",5
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,29362.0,"[317, 108, 347, 192]",5
F_00008,PennFudanPed/PNGImages/FudanPed00008.png,PASpersonWalking,26730.0,"[228, 158, 370, 436]",2
F_00008,PennFudanPed/PNGImages/FudanPed00008.png,PASpersonWalking,26730.0,"[39, 179, 115, 363]",2
F_00009,PennFudanPed/PNGImages/FudanPed00009.png,PASpersonWalking,40779.0,"[306, 138, 453, 430]",5
F_00009,PennFudanPed/PNGImages/FudanPed00009.png,PASpersonWalking,40779.0,"[157, 124, 298, 398]",5
F_00010,PennFudanPed/PNGImages/FudanPed00010.png,PASpersonWalking,34080.0,"[281, 90, 401, 374]",5
F_00011,PennFudanPed/PNGImages/FudanPed00011.png,PASpersonWalking,45120.0,"[278, 112, 438, 394]",5
F_00012,PennFudanPed/PNGImages/FudanPed00012.png,PASpersonWalking,34649.5,"[159, 71, 295, 361]",3
F_00012,PennFudanPed/PNGImages/FudanPed00012.png,PASpersonWalking,34649.5,"[328, 58, 439, 327]",3
F_00013,PennFudanPed/PNGImages/FudanPed00013.png,PASpersonWalking,46695.0,"[389, 193, 554, 476]",4
F_00014,PennFudanPed/PNGImages/FudanPed00014.png,PASpersonWalking,48051.0,"[234, 86, 405, 367]",4
F_00015,PennFudanPed/PNGImages/FudanPed00015.png,PASpersonWalking,44020.0,"[19, 43, 174, 327]",2
F_00016,PennFudanPed/PNGImages/FudanPed00016.png,PASpersonWalking,32307.0,"[80, 86, 205, 383]",3
F_00016,PennFudanPed/PNGImages/FudanPed00016.png,PASpersonWalking,32307.0,"[279, 94, 400, 361]",3
F_00016,PennFudanPed/PNGImages/FudanPed00016.png,PASpersonWalking,32307.0,"[411, 101, 495, 378]",3
F_00017,PennFudanPed/PNGImages/FudanPed00017.png,PASpersonWalking,36636.0,"[115, 48, 244, 332]",4
F_00018,PennFudanPed/PNGImages/FudanPed00018.png,PASpersonWalking,30210.0,"[20, 19, 126, 304]",4
F_00019,PennFudanPed/PNGImages/FudanPed00019.png,PASpersonWalking,38750.0,"[7, 135, 142, 389]",4
F_00019,PennFudanPed/PNGImages/FudanPed00019.png,PASpersonWalking,38750.0,"[194, 123, 339, 421]",4
F_00020,PennFudanPed/PNGImages/FudanPed00020.png,PASpersonWalking,47658.0,"[339, 99, 508, 381]",3
F_00021,PennFudanPed/PNGImages/FudanPed00021.png,PASpersonWalking,2516.0,"[324, 76, 470, 367]",3
F_00021,PennFudanPed/PNGImages/FudanPed00021.png,PASpersonWalking,2516.0,"[234, 93, 268, 167]",3
F_00021,PennFudanPed/PNGImages/FudanPed00021.png,PASpersonWalking,2516.0,"[47, 95, 69, 160]",3
F_00022,PennFudanPed/PNGImages/FudanPed00022.png,PASpersonStanding,30194.0,"[112, 169, 209, 449]",3
F_00022,PennFudanPed/PNGImages/FudanPed00022.png,PASpersonWalking,30194.0,"[397, 171, 514, 455]",3
F_00023,PennFudanPed/PNGImages/FudanPed00023.png,PASpersonWalking,39198.0,"[202, 84, 341, 366]",5
F_00024,PennFudanPed/PNGImages/FudanPed00024.png,PASpersonWalking,47762.0,"[103, 84, 270, 370]",3
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,11404.0,"[226, 69, 396, 354]",3
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,11404.0,"[44, 87, 94, 256]",3
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,11404.0,"[128, 74, 189, 262]",3
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,11404.0,"[180, 53, 228, 255]",3
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,11404.0,"[213, 73, 273, 262]",3
F_00025,PennFudanPed/PNGImages/FudanPed00025.png,PASpersonWalking,11404.0,"[314, 62, 383, 266]",3
F_00026,PennFudanPed/PNGImages/FudanPed00026.png,PASpersonWalking,29831.0,"[44, 78, 150, 389]",4
F_00026,PennFudanPed/PNGImages/FudanPed00026.png,PASpersonWalking,29831.0,"[185, 89, 279, 373]",4
F_00027,PennFudanPed/PNGImages/FudanPed00027.png,PASpersonWalking,42167.0,"[104, 45, 253, 328]",1
F_00028,PennFudanPed/PNGImages/FudanPed00028.png,PASpersonWalking,40072.0,"[7, 16, 149, 303]",4
F_00028,PennFudanPed/PNGImages/FudanPed00028.png,PASpersonWalking,40072.0,"[186, 18, 316, 321]",4
F_00029,PennFudanPed/PNGImages/FudanPed00029.png,PASpersonWalking,34038.0,"[246, 72, 368, 351]",5
F_00030,PennFudanPed/PNGImages/FudanPed00030.png,PASpersonWalking,43210.0,"[59, 85, 208, 375]",2
F_00031,PennFudanPed/PNGImages/FudanPed00031.png,PASpersonWalking,41756.0,"[298, 122, 444, 408]",2
